McLean County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.23,-0.81
200002,1.33,-0.30
200003,2.19,-0.71
200004,2.89,-0.85
200005,4.63,0.69
200006,5.40,1.40
200007,2.71,-0.86
200008,2.69,-0.79
200009,2.96,-0.69
200010,2.10,-0.68
200011,3.86,1.29
200012,1.62,-0.55
200101,2.22,0.18
200102,3.18,1.55
200103,1.14,-1.76
200104,3.72,-0.02
200105,3.96,0.02
200106,3.65,-0.35
200107,3.22,-0.35
200108,3.65,0.17
200109,2.50,-1.15
200110,6.22,3.44
200111,2.29,-0.28
200112,1.85,-0.32
200201,2.52,0.48
200202,2.05,0.42
200203,2.63,-0.27
200204,4.23,0.49
200205,5.56,1.62
200206,3.70,-0.30
200207,4.09,0.52
200208,6.30,2.82
200209,1.45,-2.20
200210,2.08,-0.70
200211,0.87,-1.70
200212,1.50,-0.67
200301,0.70,-1.34
200302,1.33,-0.30
200303,1.78,-1.12
200304,3.11,-0.63
200305,4.22,0.28
200306,3.98,-0.02
200307,7.91,4.34
200308,2.61,-0.87
200309,3.38,-0.27
200310,1.79,-0.99
200311,3.99,1.42
200312,2.21,0.04
200401,1.21,-0.83
200402,0.54,-1.09
200403,4.44,1.54
200404,1.95,-1.79
200405,6.69,2.75
200406,3.32,-0.68
200407,4.01,0.44
200408,4.67,1.19
200409,1.20,-2.45
200410,4.54,1.76
200411,4.53,1.96
200412,1.80,-0.37
200501,5.85,3.81
200502,1.69,0.06
200503,1.20,-1.70
200504,2.51,-1.23
200505,1.07,-2.87
200506,1.25,-2.75
200507,4.07,0.50
200508,2.66,-0.82
200509,3.68,0.03
200510,1.12,-1.66
200511,3.46,0.89
200512,1.16,-1.01
200601,2.58,0.54
200602,0.57,-1.06
200603,2.97,0.07
200604,5.86,2.12
200605,3.35,-0.59
200606,1.93,-2.07
200607,4.81,1.24
200608,5.01,1.53
200609,3.18,-0.47
200610,2.98,0.20
200611,3.25,0.68
200612,3.38,1.21
200701,2.83,0.79
200702,1.69,0.06
200703,5.42,2.52
200704,3.45,-0.29
200705,1.78,-2.16
200706,4.36,0.36
200707,3.51,-0.06
200708,3.07,-0.41
200709,1.23,-2.42
200710,3.89,1.11
200711,2.43,-0.14
200712,4.24,2.07
200801,4.11,2.07
200802,4.30,2.67
200803,1.78,-1.12
200804,2.82,-0.92
200805,4.76,0.82
200806,4.65,0.65
200807,5.44,1.87
200808,1.48,-2.00
200809,9.83,6.18
200810,3.12,0.34
200811,0.95,-1.62
200812,4.28,2.11
200901,0.54,-1.50
200902,2.34,0.71
200903,4.15,1.25
200904,6.15,2.41
200905,4.95,1.01
200906,5.14,1.14
200907,3.74,0.17
200908,5.40,1.92
200909,1.76,-1.89
200910,9.14,6.36
200911,3.13,0.56
200912,3.63,1.46
201001,1.26,-0.78
201002,1.58,-0.05
201003,2.46,-0.44
201004,3.08,-0.66
201005,4.61,0.67
201006,8.14,4.14
201007,2.56,-1.01
201008,2.08,-1.40
201009,3.84,0.19
201010,1.49,-1.29
201011,2.51,-0.06
201012,2.25,0.08
201101,1.27,-0.77
201102,2.78,1.15
201103,1.89,-1.01
201104,5.98,2.24
201105,5.06,1.12
201106,4.67,0.67
201107,2.94,-0.63
201108,1.77,-1.71
201109,2.95,-0.70
201110,1.84,-0.94
201111,3.69,1.12
201112,3.27,1.10
201201,1.39,-0.65
201202,1.25,-0.38
201203,1.03,-1.87
201204,2.52,-1.22
201205,2.19,-1.75
201206,1.84,-2.16
201207,1.24,-2.33
201208,4.56,1.08
201209,5.22,1.57
201210,4.81,2.03
201211,0.97,-1.60
201212,1.99,-0.18
201301,2.98,0.94
201302,2.39,0.76
201303,1.93,-0.97
201304,5.98,2.24
201305,7.04,3.10
201306,3.85,-0.15
201307,1.78,-1.79
201308,1.50,-1.98
201309,1.44,-2.21
201310,3.42,0.64
201311,2.44,-0.13
201312,1.60,-0.57
201401,1.79,-0.25
201402,2.40,0.77
201403,1.66,-1.24
201404,3.18,-0.56
201405,3.18,-0.76
201406,6.45,2.45
201407,5.37,1.80
201408,3.95,0.47
201409,4.95,1.30
201410,4.02,1.24
201411,1.96,-0.61
201412,1.12,-1.05
201501,1.35,-0.69
201502,1.06,-0.57
201503,1.24,-1.66
201504,2.71,-1.03
201505,6.33,2.39
201506,9.63,5.63
201507,6.76,3.19
201508,2.95,-0.53
201509,4.51,0.86
201510,1.25,-1.53
201511,5.09,2.52
201512,6.47,4.30
201601,0.81,-1.23
201602,1.18,-0.45
201603,3.17,0.27
201604,2.17,-1.57
201605,5.16,1.22
201606,3.64,-0.36
201607,7.49,3.92
201608,6.89,3.41
201609,3.14,-0.51
201610,2.22,-0.56
201611,3.17,0.60
201612,1.05,-1.12
201701,2.09,0.05
201702,0.86,-0.77
201703,3.60,0.70
201704,4.86,1.12
201705,3.60,-0.34
201706,3.30,-0.70
201707,3.38,-0.19
201708,3.79,0.31
201709,1.08,-2.57
201710,3.74,0.96
201711,2.52,-0.05
201712,0.54,-1.63
201801,0.83,-1.21
201802,4.21,2.58
201803,2.81,-0.09
201804,2.05,-1.69
201805,3.28,-0.66
201806,5.87,1.87
201807,3.00,-0.57
201808,3.26,-0.22
201809,2.44,-1.21
201810,5.21,2.43
201811,2.56,-0.01
201812,2.95,0.78
201901,3.05,1.01
201902,2.34,0.71
201903,4.51,1.61
201904,4.17,0.43
201905,8.46,4.52
201906,3.78,-0.22
201907,2.81,-0.76
201908,3.92,0.44
201909,4.96,1.31
201910,5.08,2.30
201911,1.63,-0.94
201912,1.37,-0.80
202001,3.46,1.42
