Okanogan County, Washington, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.88,-0.01
200002,2.58,0.20
200003,1.76,-0.08
200004,0.60,-0.86
200005,1.21,-0.43
200006,0.99,-0.69
200007,0.87,0.01
200008,0.25,-0.66
200009,0.55,-0.55
200010,1.30,-0.32
200011,1.57,-1.55
200012,1.84,-1.22
200101,1.12,-1.77
200102,1.11,-1.27
200103,2.01,0.17
200104,1.01,-0.45
200105,0.68,-0.96
200106,1.70,0.02
200107,0.72,-0.14
200108,0.47,-0.44
200109,0.74,-0.36
200110,1.88,0.26
200111,3.58,0.46
200112,3.93,0.87
200201,2.57,-0.32
200202,2.10,-0.28
200203,1.94,0.10
200204,0.85,-0.61
200205,1.46,-0.18
200206,0.79,-0.89
200207,0.52,-0.34
200208,0.35,-0.56
200209,0.47,-0.63
200210,0.16,-1.46
200211,1.46,-1.66
200212,5.73,2.67
200301,4.50,1.61
200302,0.91,-1.47
200303,2.28,0.44
200304,2.83,1.37
200305,0.85,-0.79
200306,0.36,-1.32
200307,0.03,-0.83
200308,0.07,-0.84
200309,0.48,-0.62
200310,3.37,1.75
200311,2.85,-0.27
200312,2.99,-0.07
200401,2.22,-0.67
200402,1.84,-0.54
200403,1.82,-0.02
200404,0.96,-0.50
200405,2.16,0.52
200406,1.87,0.19
200407,0.25,-0.61
200408,2.17,1.26
200409,1.15,0.05
200410,2.18,0.56
200411,0.96,-2.16
200412,2.72,-0.34
200501,2.05,-0.84
200502,0.23,-2.15
200503,1.77,-0.07
200504,1.31,-0.15
200505,2.60,0.96
200506,2.29,0.61
200507,0.61,-0.25
200508,0.25,-0.66
200509,0.67,-0.43
200510,2.23,0.61
200511,3.25,0.13
200512,3.23,0.17
200601,5.96,3.07
200602,2.88,0.50
200603,2.33,0.49
200604,1.99,0.53
200605,2.03,0.39
200606,1.79,0.11
200607,0.50,-0.36
200608,0.04,-0.87
200609,0.78,-0.32
200610,0.78,-0.84
200611,5.93,2.81
200612,4.95,1.89
200701,2.10,-0.79
200702,2.33,-0.05
200703,1.47,-0.37
200704,0.46,-1.00
200705,0.89,-0.75
200706,1.32,-0.36
200707,0.75,-0.11
200708,0.34,-0.57
200709,1.31,0.21
200710,1.60,-0.02
200711,1.59,-1.53
200712,5.04,1.98
200801,3.26,0.37
200802,1.53,-0.85
200803,1.45,-0.39
200804,0.86,-0.60
200805,0.96,-0.68
200806,1.67,-0.01
200807,0.41,-0.45
200808,1.85,0.94
200809,0.32,-0.78
200810,1.45,-0.17
200811,3.34,0.22
200812,2.36,-0.70
200901,2.71,-0.18
200902,1.13,-1.25
200903,1.93,0.09
200904,0.91,-0.55
200905,1.60,-0.04
200906,1.02,-0.66
200907,1.27,0.41
200908,0.73,-0.18
200909,1.08,-0.02
200910,3.08,1.46
200911,2.15,-0.97
200912,1.59,-1.47
201001,3.53,0.64
201002,2.25,-0.13
201003,1.18,-0.66
201004,2.18,0.72
201005,3.64,2.00
201006,2.40,0.72
201007,0.32,-0.54
201008,1.19,0.28
201009,2.04,0.94
201010,1.62,0.00
201011,2.68,-0.44
201012,3.63,0.57
201101,2.46,-0.43
201102,2.02,-0.36
201103,4.98,3.14
201104,1.46,0.00
201105,3.95,2.31
201106,1.32,-0.36
201107,0.81,-0.05
201108,0.07,-0.84
201109,0.41,-0.69
201110,2.04,0.42
201111,2.82,-0.30
201112,1.63,-1.43
201201,3.10,0.21
201202,1.94,-0.44
201203,4.47,2.63
201204,2.06,0.60
201205,0.69,-0.95
201206,3.07,1.39
201207,2.16,1.30
201208,0.10,-0.81
201209,0.11,-0.99
201210,3.04,1.42
201211,4.17,1.05
201212,5.05,1.99
201301,1.69,-1.20
201302,0.86,-1.52
201303,1.44,-0.40
201304,1.91,0.45
201305,1.99,0.35
201306,2.16,0.48
201307,0.51,-0.35
201308,2.40,1.49
201309,3.69,2.59
201310,0.40,-1.22
201311,2.16,-0.96
201312,0.94,-2.12
201401,1.51,-1.38
201402,3.99,1.61
201403,2.93,1.09
201404,1.40,-0.06
201405,1.01,-0.63
201406,1.60,-0.08
201407,0.59,-0.27
201408,2.06,1.15
201409,1.05,-0.05
201410,3.16,1.54
201411,3.90,0.78
201412,3.52,0.46
201501,2.09,-0.80
201502,1.81,-0.57
201503,1.66,-0.18
201504,0.39,-1.07
201505,1.92,0.28
201506,0.62,-1.06
201507,0.44,-0.42
201508,0.66,-0.25
201509,0.46,-0.64
201510,1.99,0.37
201511,3.32,0.20
201512,5.77,2.71
201601,4.06,1.17
201602,2.04,-0.34
201603,3.94,2.10
201604,0.95,-0.51
201605,1.24,-0.40
201606,1.56,-0.12
201607,1.79,0.93
201608,0.24,-0.67
201609,0.82,-0.28
201610,5.64,4.02
201611,2.98,-0.14
201612,2.17,-0.89
201701,2.55,-0.34
201702,3.69,1.31
201703,3.41,1.57
201704,3.60,2.14
201705,2.36,0.72
201706,0.75,-0.93
201707,0.01,-0.85
201708,0.03,-0.88
201709,0.31,-0.79
201710,2.44,0.82
201711,3.96,0.84
201712,2.18,-0.88
201801,4.47,1.58
201802,1.96,-0.42
201803,3.53,1.69
201804,2.97,1.51
201805,1.07,-0.57
201806,1.07,-0.61
201807,0.16,-0.70
201808,0.17,-0.74
201809,0.63,-0.47
201810,1.90,0.28
201811,1.51,-1.61
201812,3.21,0.15
201901,2.31,-0.58
201902,1.46,-0.92
201903,1.05,-0.79
201904,1.35,-0.11
201905,2.71,1.07
201906,0.76,-0.92
201907,0.90,0.04
201908,0.81,-0.10
201909,3.80,2.70
201910,1.29,-0.33
201911,0.85,-2.27
201912,2.24,-0.82
202001,4.07,1.18
