Chemung County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,20.7,-1.6
200002,28.2,5.1
200003,39.7,7.0
200004,44.2,-0.1
200005,57.8,2.3
200006,64.7,0.5
200007,64.9,-4.0
200008,65.7,-1.1
200009,59.4,-0.4
200010,49.3,0.5
200011,36.6,-0.9
200012,20.9,-5.7
200101,25.0,2.7
200102,28.1,5.0
200103,29.7,-3.0
200104,45.7,1.4
200105,57.3,1.8
200106,65.1,0.9
200107,66.4,-2.5
200108,70.3,3.5
200109,59.2,-0.6
200110,49.9,1.1
200111,43.8,6.3
200112,34.6,8.0
200201,30.1,7.8
200202,32.1,9.0
200203,34.9,2.2
200204,46.8,2.5
200205,52.0,-3.5
200206,65.7,1.5
200207,70.3,1.4
200208,70.0,3.2
200209,63.7,3.9
200210,46.9,-1.9
200211,37.0,-0.5
200212,25.1,-1.5
200301,17.0,-5.3
200302,20.7,-2.4
200303,33.0,0.3
200304,42.8,-1.5
200305,54.6,-0.9
200306,62.2,-2.0
200307,68.0,-0.9
200308,69.6,2.8
200309,60.4,0.6
200310,46.5,-2.3
200311,42.3,4.8
200312,28.6,2.0
200401,16.1,-6.2
200402,22.7,-0.4
200403,36.6,3.9
200404,44.8,0.5
200405,61.2,5.7
200406,62.3,-1.9
200407,67.5,-1.4
200408,66.5,-0.3
200409,62.9,3.1
200410,49.2,0.4
200411,40.2,2.7
200412,27.8,1.2
200501,21.2,-1.1
200502,26.0,2.9
200503,28.6,-4.1
200504,45.6,1.3
200505,50.3,-5.2
200506,69.0,4.8
200507,71.3,2.4
200508,71.0,4.2
200509,63.2,3.4
200510,49.7,0.9
200511,41.6,4.1
200512,24.2,-2.4
200601,31.7,9.4
200602,28.0,4.9
200603,32.7,0.0
200604,45.9,1.6
200605,55.1,-0.4
200606,64.9,0.7
200607,70.8,1.9
200608,67.0,0.2
200609,58.5,-1.3
200610,46.7,-2.1
200611,42.2,4.7
200612,35.6,9.0
200701,28.1,5.8
200702,17.6,-5.5
200703,32.0,-0.7
200704,41.6,-2.7
200705,56.3,0.8
200706,65.9,1.7
200707,66.6,-2.3
200708,68.4,1.6
200709,62.3,2.5
200710,55.4,6.6
200711,37.4,-0.1
200712,27.9,1.3
200801,27.8,5.5
200802,25.1,2.0
200803,31.2,-1.5
200804,49.0,4.7
200805,52.0,-3.5
200806,67.5,3.3
200807,69.0,0.1
200808,64.4,-2.4
200809,61.2,1.4
200810,46.6,-2.2
200811,36.7,-0.8
200812,27.3,0.7
200901,15.9,-6.4
200902,26.9,3.8
200903,34.3,1.6
200904,46.8,2.5
200905,55.9,0.4
200906,62.3,-1.9
200907,64.8,-4.1
200908,68.3,1.5
200909,59.1,-0.7
200910,46.5,-2.3
200911,41.4,3.9
200912,26.5,-0.1
201001,23.0,0.7
201002,25.5,2.4
201003,38.6,5.9
201004,49.8,5.5
201005,58.6,3.1
201006,66.2,2.0
201007,71.2,2.3
201008,68.6,1.8
201009,61.2,1.4
201010,48.8,0.0
201011,38.2,0.7
201012,24.2,-2.4
201101,20.1,-2.2
201102,22.7,-0.4
201103,31.7,-1.0
201104,45.7,1.4
201105,58.6,3.1
201106,66.2,2.0
201107,72.4,3.5
201108,67.3,0.5
201109,62.9,3.1
201110,49.4,0.6
201111,43.0,5.5
201112,32.7,6.1
201201,27.1,4.8
201202,32.6,9.5
201203,45.5,12.8
201204,43.9,-0.4
201205,61.5,6.0
201206,64.8,0.6
201207,72.1,3.2
201208,68.4,1.6
201209,60.0,0.2
201210,51.0,2.2
201211,35.9,-1.6
201212,33.3,6.7
201301,26.4,4.1
201302,25.3,2.2
201303,31.7,-1.0
201304,44.6,0.3
201305,57.8,2.3
201306,65.2,1.0
201307,71.5,2.6
201308,66.0,-0.8
201309,58.9,-0.9
201310,52.3,3.5
201311,35.3,-2.2
201312,28.2,1.6
201401,17.4,-4.9
201402,19.4,-3.7
201403,26.3,-6.4
201404,44.0,-0.3
201405,57.3,1.8
201406,65.4,1.2
201407,67.4,-1.5
201408,64.6,-2.2
201409,60.6,0.8
201410,51.4,2.6
201411,35.1,-2.4
201412,31.6,5.0
201501,17.8,-4.5
201502,11.5,-11.6
201503,26.7,-6.0
201504,43.9,-0.4
201505,61.7,6.2
201506,64.0,-0.2
201507,67.7,-1.2
201508,66.9,0.1
201509,65.5,5.7
201510,48.6,-0.2
201511,43.3,5.8
201512,40.2,13.6
201601,24.7,2.4
201602,28.2,5.1
201603,40.1,7.4
201604,42.0,-2.3
201605,55.7,0.2
201606,65.0,0.8
201607,71.4,2.5
201608,71.5,4.7
201609,63.8,4.0
201610,51.2,2.4
201611,41.6,4.1
201612,29.3,2.7
201701,29.4,7.1
201702,33.5,10.4
201703,31.4,-1.3
201704,50.8,6.5
201705,55.5,0.0
201706,65.1,0.9
201707,69.5,0.6
201708,66.2,-0.6
201709,62.7,2.9
201710,55.0,6.2
201711,37.6,0.1
201712,25.7,-0.9
201801,19.9,-2.4
201802,30.8,7.7
201803,31.1,-1.6
201804,39.8,-4.5
201805,61.8,6.3
201806,64.7,0.5
201807,71.1,2.2
201808,71.1,4.3
201809,65.4,5.6
201810,49.5,0.7
201811,34.8,-2.7
201812,31.7,5.1
201901,22.2,-0.1
201902,27.3,4.2
201903,31.7,-1.0
201904,46.6,2.3
201905,56.9,1.4
201906,64.1,-0.1
201907,72.0,3.1
201908,67.9,1.1
201909,62.5,2.7
201910,51.5,2.7
201911,34.8,-2.7
201912,28.5,1.9
202001,29.8,7.5
