Santa Clara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,7.50,2.66
200002,8.64,4.44
200003,2.38,-1.33
200004,1.24,-0.42
200005,0.81,0.15
200006,0.33,0.19
200007,0.01,0.00
200008,0.06,0.01
200009,0.21,-0.03
200010,3.38,2.35
200011,0.97,-1.50
200012,0.66,-3.45
200101,4.53,-0.31
200102,5.87,1.67
200103,2.37,-1.34
200104,2.02,0.36
200105,0.00,-0.66
200106,0.08,-0.06
200107,0.01,0.00
200108,0.01,-0.04
200109,0.14,-0.10
200110,0.37,-0.66
200111,4.08,1.61
200112,7.62,3.51
200201,1.64,-3.20
200202,1.52,-2.68
200203,2.84,-0.87
200204,0.53,-1.13
200205,1.03,0.37
200206,0.01,-0.13
200207,0.00,-0.01
200208,0.02,-0.03
200209,0.01,-0.23
200210,0.01,-1.02
200211,3.80,1.33
200212,10.74,6.63
200301,1.13,-3.71
200302,2.02,-2.18
200303,1.71,-2.00
200304,4.13,2.47
200305,1.20,0.54
200306,0.01,-0.13
200307,0.00,-0.01
200308,0.22,0.17
200309,0.02,-0.22
200310,0.15,-0.88
200311,2.37,-0.10
200312,7.40,3.29
200401,2.74,-2.10
200402,5.91,1.71
200403,0.79,-2.92
200404,0.35,-1.31
200405,0.12,-0.54
200406,0.00,-0.14
200407,0.00,-0.01
200408,0.01,-0.04
200409,0.16,-0.08
200410,4.04,3.01
200411,1.42,-1.05
200412,6.73,2.62
200501,5.21,0.37
200502,5.05,0.85
200503,5.34,1.63
200504,2.14,0.48
200505,1.28,0.62
200506,0.51,0.37
200507,0.01,0.00
200508,0.01,-0.04
200509,0.05,-0.19
200510,0.15,-0.88
200511,0.96,-1.51
200512,8.27,4.16
200601,4.48,-0.36
200602,2.29,-1.91
200603,8.25,4.54
200604,4.99,3.33
200605,0.63,-0.03
200606,0.00,-0.14
200607,0.00,-0.01
200608,0.00,-0.05
200609,0.00,-0.24
200610,0.39,-0.64
200611,1.71,-0.76
200612,3.57,-0.54
200701,1.07,-3.77
200702,5.12,0.92
200703,0.50,-3.21
200704,1.15,-0.51
200705,0.16,-0.50
200706,0.01,-0.13
200707,0.03,0.02
200708,0.00,-0.05
200709,0.38,0.14
200710,1.40,0.37
200711,0.74,-1.73
200712,2.28,-1.83
200801,8.92,4.08
200802,3.71,-0.49
200803,0.22,-3.49
200804,0.14,-1.52
200805,0.01,-0.65
200806,0.00,-0.14
200807,0.00,-0.01
200808,0.01,-0.04
200809,0.00,-0.24
200810,0.47,-0.56
200811,2.13,-0.34
200812,2.88,-1.23
200901,1.96,-2.88
200902,6.90,2.70
200903,3.10,-0.61
200904,0.55,-1.11
200905,0.67,0.01
200906,0.05,-0.09
200907,0.01,0.00
200908,0.04,-0.01
200909,0.19,-0.05
200910,4.06,3.03
200911,0.31,-2.16
200912,3.62,-0.49
201001,6.97,2.13
201002,3.92,-0.28
201003,2.75,-0.96
201004,4.47,2.81
201005,0.82,0.16
201006,0.01,-0.13
201007,0.00,-0.01
201008,0.03,-0.02
201009,0.01,-0.23
201010,1.33,0.30
201011,3.21,0.74
201012,6.55,2.44
201101,1.85,-2.99
201102,4.76,0.56
201103,7.60,3.89
201104,0.33,-1.33
201105,1.08,0.42
201106,0.76,0.62
201107,0.00,-0.01
201108,0.00,-0.05
201109,0.00,-0.24
201110,1.59,0.56
201111,1.60,-0.87
201112,0.14,-3.97
201201,3.07,-1.77
201202,1.34,-2.86
201203,5.07,1.36
201204,3.22,1.56
201205,0.05,-0.61
201206,0.20,0.06
201207,0.01,0.00
201208,0.01,-0.04
201209,0.01,-0.23
201210,0.66,-0.37
201211,4.17,1.70
201212,7.35,3.24
201301,0.98,-3.86
201302,0.54,-3.66
201303,0.99,-2.72
201304,0.68,-0.98
201305,0.03,-0.63
201306,0.04,-0.10
201307,0.00,-0.01
201308,0.02,-0.03
201309,0.39,0.15
201310,0.04,-0.99
201311,0.90,-1.57
201312,0.51,-3.60
201401,0.20,-4.64
201402,4.60,0.40
201403,2.56,-1.15
201404,1.70,0.04
201405,0.04,-0.62
201406,0.01,-0.13
201407,0.01,0.00
201408,0.01,-0.04
201409,0.40,0.16
201410,0.75,-0.28
201411,2.49,0.02
201412,11.62,7.51
201501,0.01,-4.83
201502,2.87,-1.33
201503,0.40,-3.31
201504,1.28,-0.38
201505,0.57,-0.09
201506,0.07,-0.07
201507,0.02,0.01
201508,0.10,0.05
201509,0.01,-0.23
201510,0.28,-0.75
201511,3.33,0.86
201512,4.79,0.68
201601,7.73,2.89
201602,1.24,-2.96
201603,7.73,4.02
201604,2.14,0.48
201605,0.36,-0.30
201606,0.00,-0.14
201607,0.01,0.00
201608,0.02,-0.03
201609,0.00,-0.24
201610,3.96,2.93
201611,2.26,-0.21
201612,4.19,0.08
201701,12.68,7.84
201702,9.68,5.48
201703,3.23,-0.48
201704,2.79,1.13
201705,0.06,-0.60
201706,0.08,-0.06
201707,0.00,-0.01
201708,0.00,-0.05
201709,0.10,-0.14
201710,0.22,-0.81
201711,2.55,0.08
201712,0.14,-3.97
201801,4.74,-0.10
201802,0.51,-3.69
201803,6.01,2.30
201804,2.68,1.02
201805,0.06,-0.60
201806,0.00,-0.14
201807,0.01,0.00
201808,0.00,-0.05
201809,0.00,-0.24
201810,0.10,-0.93
201811,4.09,1.62
201812,2.90,-1.21
201901,5.45,0.61
201902,9.47,5.27
201903,5.81,2.10
201904,0.74,-0.92
201905,2.77,2.11
201906,0.02,-0.12
201907,0.02,0.01
201908,0.01,-0.04
201909,0.09,-0.15
201910,0.01,-1.02
201911,1.46,-1.01
201912,5.58,1.47
202001,1.64,-3.20
