Lee County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.43,-0.44
200002,0.32,-1.75
200003,2.52,0.07
200004,1.32,-0.81
200005,1.88,-2.10
200006,6.53,-1.42
200007,8.13,0.57
200008,8.14,0.51
200009,9.66,2.23
200010,1.97,-1.90
200011,0.33,-1.22
200012,0.88,-0.64
200101,0.13,-1.74
200102,0.05,-2.02
200103,3.45,1.00
200104,0.90,-1.23
200105,1.59,-2.39
200106,3.91,-4.04
200107,12.82,5.26
200108,7.44,-0.19
200109,13.31,5.88
200110,3.01,-0.86
200111,0.37,-1.18
200112,1.56,0.04
200201,1.81,-0.06
200202,1.79,-0.28
200203,0.57,-1.88
200204,1.48,-0.65
200205,2.87,-1.11
200206,8.34,0.39
200207,8.50,0.94
200208,9.18,1.55
200209,6.70,-0.73
200210,1.95,-1.92
200211,4.68,3.13
200212,3.58,2.06
200301,1.48,-0.39
200302,1.03,-1.04
200303,3.70,1.25
200304,2.86,0.73
200305,4.13,0.15
200306,12.70,4.75
200307,4.53,-3.03
200308,10.70,3.07
200309,14.02,6.59
200310,0.77,-3.10
200311,2.06,0.51
200312,3.48,1.96
200401,2.90,1.03
200402,3.55,1.48
200403,0.37,-2.08
200404,2.42,0.29
200405,0.74,-3.24
200406,8.84,0.89
200407,9.74,2.18
200408,13.05,5.42
200409,6.52,-0.91
200410,1.31,-2.56
200411,0.96,-0.59
200412,1.64,0.12
200501,0.76,-1.11
200502,2.76,0.69
200503,6.84,4.39
200504,2.97,0.84
200505,2.93,-1.05
200506,16.39,8.44
200507,9.40,1.84
200508,7.82,0.19
200509,5.12,-2.31
200510,7.58,3.71
200511,4.14,2.59
200512,0.22,-1.30
200601,0.41,-1.46
200602,2.64,0.57
200603,0.31,-2.14
200604,0.21,-1.92
200605,1.94,-2.04
200606,8.51,0.56
200607,10.59,3.03
200608,10.43,2.80
200609,6.79,-0.64
200610,0.94,-2.93
200611,0.81,-0.74
200612,1.54,0.02
200701,0.62,-1.25
200702,0.95,-1.12
200703,0.26,-2.19
200704,1.76,-0.37
200705,1.62,-2.36
200706,5.19,-2.76
200707,6.90,-0.66
200708,7.41,-0.22
200709,6.54,-0.89
200710,3.59,-0.28
200711,0.29,-1.26
200712,1.26,-0.26
200801,1.31,-0.56
200802,2.16,0.09
200803,2.05,-0.40
200804,3.52,1.39
200805,1.06,-2.92
200806,8.17,0.22
200807,11.44,3.88
200808,9.33,1.70
200809,7.52,0.09
200810,3.06,-0.81
200811,0.32,-1.23
200812,1.76,0.24
200901,0.43,-1.44
200902,0.35,-1.72
200903,0.52,-1.93
200904,0.41,-1.72
200905,7.19,3.21
200906,6.85,-1.10
200907,5.84,-1.72
200908,9.04,1.41
200909,7.79,0.36
200910,1.33,-2.54
200911,1.39,-0.16
200912,3.91,2.39
201001,1.49,-0.38
201002,2.65,0.58
201003,7.17,4.72
201004,4.37,2.24
201005,3.33,-0.65
201006,6.15,-1.80
201007,6.34,-1.22
201008,8.40,0.77
201009,5.24,-2.19
201010,0.34,-3.53
201011,1.75,0.20
201012,1.16,-0.36
201101,2.91,1.04
201102,0.42,-1.65
201103,2.22,-0.23
201104,1.77,-0.36
201105,2.63,-1.35
201106,6.83,-1.12
201107,7.89,0.33
201108,6.63,-1.00
201109,7.85,0.42
201110,9.07,5.20
201111,0.69,-0.86
201112,0.43,-1.09
201201,0.24,-1.63
201202,1.30,-0.77
201203,0.95,-1.50
201204,1.82,-0.31
201205,3.66,-0.32
201206,7.74,-0.21
201207,6.90,-0.66
201208,8.49,0.86
201209,6.86,-0.57
201210,5.07,1.20
201211,0.36,-1.19
201212,2.24,0.72
201301,0.45,-1.42
201302,2.24,0.17
201303,1.23,-1.22
201304,3.20,1.07
201305,3.71,-0.27
201306,10.20,2.25
201307,10.58,3.02
201308,9.44,1.81
201309,8.31,0.88
201310,1.36,-2.51
201311,1.35,-0.20
201312,0.44,-1.08
201401,2.97,1.10
201402,1.33,-0.74
201403,3.47,1.02
201404,1.68,-0.45
201405,4.48,0.50
201406,6.71,-1.24
201407,8.06,0.50
201408,7.20,-0.43
201409,8.41,0.98
201410,1.48,-2.39
201411,3.35,1.80
201412,0.30,-1.22
201501,0.61,-1.26
201502,2.68,0.61
201503,2.10,-0.35
201504,2.52,0.39
201505,2.99,-0.99
201506,7.50,-0.45
201507,11.73,4.17
201508,9.62,1.99
201509,9.79,2.36
201510,2.61,-1.26
201511,1.85,0.30
201512,2.73,1.21
201601,9.54,7.67
201602,2.52,0.45
201603,1.18,-1.27
201604,1.37,-0.76
201605,4.22,0.24
201606,12.75,4.80
201607,8.06,0.50
201608,8.45,0.82
201609,7.56,0.13
201610,2.51,-1.36
201611,0.05,-1.50
201612,0.51,-1.01
201701,1.38,-0.49
201702,1.08,-0.99
201703,0.51,-1.94
201704,2.60,0.47
201705,2.56,-1.42
201706,14.56,6.61
201707,10.22,2.66
201708,13.88,6.25
201709,10.14,2.71
201710,4.98,1.11
201711,0.36,-1.19
201712,1.23,-0.29
201801,1.13,-0.74
201802,0.78,-1.29
201803,0.58,-1.87
201804,1.17,-0.96
201805,11.44,7.46
201806,7.56,-0.39
201807,8.30,0.74
201808,8.72,1.09
201809,6.37,-1.06
201810,1.79,-2.08
201811,1.80,0.25
201812,2.32,0.80
201901,5.40,3.53
201902,2.56,0.49
201903,1.29,-1.16
201904,2.15,0.02
201905,6.48,2.50
201906,8.18,0.23
201907,10.53,2.97
201908,10.41,2.78
201909,1.63,-5.80
201910,4.71,0.84
201911,1.02,-0.53
201912,4.65,3.13
202001,1.23,-0.64
