Leon County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,52.0,0.3
200002,56.0,2.0
200003,63.5,3.5
200004,64.5,-1.9
200005,77.1,3.2
200006,80.6,1.4
200007,83.7,2.9
200008,81.8,1.3
200009,76.5,-1.1
200010,66.6,-1.7
200011,57.9,-1.0
200012,48.3,-4.4
200101,47.3,-4.4
200102,59.7,5.7
200103,58.6,-1.4
200104,66.9,0.5
200105,73.1,-0.8
200106,78.7,-0.5
200107,81.0,0.2
200108,79.4,-1.1
200109,74.6,-3.0
200110,66.3,-2.0
200111,63.5,4.6
200112,57.7,5.0
200201,53.1,1.4
200202,52.1,-1.9
200203,60.6,0.6
200204,71.9,5.5
200205,74.7,0.8
200206,79.6,0.4
200207,81.4,0.6
200208,80.5,0.0
200209,79.8,2.2
200210,72.9,4.6
200211,56.9,-2.0
200212,50.2,-2.5
200301,46.3,-5.4
200302,54.6,0.6
200303,64.8,4.8
200304,66.0,-0.4
200305,75.5,1.6
200306,78.8,-0.4
200307,79.5,-1.3
200308,80.0,-0.5
200309,76.1,-1.5
200310,68.7,0.4
200311,63.1,4.2
200312,48.2,-4.5
200401,50.2,-1.5
200402,51.5,-2.5
200403,61.8,1.8
200404,63.8,-2.6
200405,75.3,1.4
200406,79.9,0.7
200407,81.2,0.4
200408,80.7,0.2
200409,77.6,0.0
200410,71.7,3.4
200411,62.4,3.5
200412,50.5,-2.2
200501,54.4,2.7
200502,56.1,2.1
200503,58.0,-2.0
200504,62.5,-3.9
200505,71.8,-2.1
200506,79.2,0.0
200507,82.2,1.4
200508,81.8,1.3
200509,79.8,2.2
200510,69.5,1.2
200511,62.9,4.0
200512,50.8,-1.9
200601,56.6,4.9
200602,53.1,-0.9
200603,61.0,1.0
200604,70.4,4.0
200605,73.6,-0.3
200606,79.1,-0.1
200607,82.0,1.2
200608,82.6,2.1
200609,75.8,-1.8
200610,66.9,-1.4
200611,58.3,-0.6
200612,56.8,4.1
200701,53.7,2.0
200702,51.8,-2.2
200703,62.3,2.3
200704,64.3,-2.1
200705,73.8,-0.1
200706,79.7,0.5
200707,82.3,1.5
200708,83.7,3.2
200709,79.2,1.6
200710,72.2,3.9
200711,58.1,-0.8
200712,58.0,5.3
200801,50.7,-1.0
200802,55.2,1.2
200803,59.0,-1.0
200804,66.2,-0.2
200805,74.8,0.9
200806,80.4,1.2
200807,80.9,0.1
200808,80.2,-0.3
200809,77.3,-0.3
200810,66.5,-1.8
200811,55.4,-3.5
200812,56.2,3.5
200901,51.9,0.2
200902,50.8,-3.2
200903,61.1,1.1
200904,66.4,0.0
200905,74.9,1.0
200906,82.2,3.0
200907,80.2,-0.6
200908,80.0,-0.5
200909,78.3,0.7
200910,71.2,2.9
200911,58.9,0.0
200912,52.8,0.1
201001,46.6,-5.1
201002,46.0,-8.0
201003,55.2,-4.8
201004,67.2,0.8
201005,77.2,3.3
201006,82.8,3.6
201007,83.4,2.6
201008,83.2,2.7
201009,79.8,2.2
201010,67.6,-0.7
201011,58.7,-0.2
201012,44.2,-8.5
201101,46.1,-5.6
201102,55.0,1.0
201103,62.7,2.7
201104,69.0,2.6
201105,74.2,0.3
201106,83.6,4.4
201107,82.5,1.7
201108,83.8,3.3
201109,76.8,-0.8
201110,65.4,-2.9
201111,60.6,1.7
201112,56.2,3.5
201201,54.6,2.9
201202,58.1,4.1
201203,67.9,7.9
201204,68.6,2.2
201205,76.3,2.4
201206,77.8,-1.4
201207,82.4,1.6
201208,79.8,-0.7
201209,77.1,-0.5
201210,68.8,0.5
201211,57.2,-1.7
201212,56.2,3.5
201301,58.7,7.0
201302,55.3,1.3
201303,54.7,-5.3
201304,67.0,0.6
201305,71.8,-2.1
201306,80.9,1.7
201307,79.6,-1.2
201308,80.9,0.4
201309,78.9,1.3
201310,69.8,1.5
201311,60.8,1.9
201312,58.3,5.6
201401,47.2,-4.5
201402,56.3,2.3
201403,58.7,-1.3
201404,67.2,0.8
201405,74.3,0.4
201406,80.6,1.4
201407,80.9,0.1
201408,83.2,2.7
201409,78.4,0.8
201410,68.5,0.2
201411,53.9,-5.0
201412,56.7,4.0
201501,51.8,0.1
201502,50.1,-3.9
201503,65.4,5.4
201504,72.9,6.5
201505,77.0,3.1
201506,81.2,2.0
201507,83.9,3.1
201508,82.7,2.2
201509,78.2,0.6
201510,70.9,2.6
201511,68.2,9.3
201512,64.2,11.5
201601,50.9,-0.8
201602,54.4,0.4
201603,65.0,5.0
201604,68.6,2.2
201605,75.1,1.2
201606,81.7,2.5
201607,83.8,3.0
201608,82.4,1.9
201609,80.2,2.6
201610,71.7,3.4
201611,63.0,4.1
201612,59.5,6.8
201701,58.1,6.4
201702,61.4,7.4
201703,62.9,2.9
201704,69.4,3.0
201705,74.1,0.2
201706,78.0,-1.2
201707,81.6,0.8
201708,81.5,1.0
201709,77.1,-0.5
201710,71.2,2.9
201711,61.3,2.4
201712,55.1,2.4
201801,47.7,-4.0
201802,64.6,10.6
201803,58.9,-1.1
201804,65.4,-1.0
201805,76.4,2.5
201806,81.2,2.0
201807,81.3,0.5
201808,80.7,0.2
201809,81.4,3.8
201810,73.2,4.9
201811,59.2,0.3
201812,55.8,3.1
201901,52.4,0.7
201902,63.0,9.0
201903,60.8,0.8
201904,67.1,0.7
201905,78.1,4.2
201906,81.2,2.0
201907,82.0,1.2
201908,82.5,2.0
201909,82.1,4.5
201910,74.4,6.1
201911,58.2,-0.7
201912,57.4,4.7
202001,56.8,5.1
